X,Y,NAME,MARK,LIVER,COMMENT
27,44,フブキング卿の拠点,home,白上フブキ,ポータルという金属製の古びた施設から飛び降りた橋の下。穴を塞いでしまえば比較的安全。
29,44,まつり城,fort,夏色まつり,フブキング拠点の隣に広がる平原。滝は美しいが、スピノサウルスやカルキノスが頻繁に湧く。&#10;早くも工場がスタートし、姫森ルーナがヒモとして同居している。
30,43,わための第一拠点,home,角巻わため,まつり城を見下ろす高台の小屋。&#10;第二拠点は後述する天音かなたの旧拠点付近に建っている。
40,30,三期生ハウス（旧）,city,"不知火フレア,宝鐘マリン",不知火フレアと宝鐘マリンが最初に合流して建てた拠点、現在は引っ越し済み。&#10;ラヴェジャーやユタラプトルに襲われやすい危険地帯だが、それゆえラヴェジャーの捕獲や繁殖が盛んに行われていた。
60,30,三期生ハウス（新）,city,兎田ぺこら,兎田ぺこらの誘導によって引っ越した新居。&#10;川には大型の肉食がいるものの、徒歩で中層に行ける攻略向きの立地。
50,40,杞憂ブリッジ,home,桐生ココ,桐生ココが住んでいる超危険地帯。&#10;資源は豊富だが川に隣接しているため肉食が多く、メガロサウルスのような中層の生物も湧く。
38,39,ロボ子さんの秘密基地,home,ロボ子さん,岩場のトンネルを利用した拠点。&#10;野生の敵は入ってこないため安全だが、拠点内に赤いキノコや蜂の巣などの死亡フラグが存在している。
55,48,ロボ子さんの中層秘密基地,home,ロボ子さん,ガス田がある中層の水辺、現在建設中。
47,22,かなたの拠点（旧）,home,天音かなた,非常に危険な川辺の拠点。スピノサウルス、カルキノス、ラヴェジャー、ユタラプトルが頻繁に湧く。&#10;付近に住んでいた三期生は引っ越していったが、わためが近所に大きな石造りの城（第二拠点）を建てた。&#10;また、付近には「みっころね」のコラボで使用されたベッドもある。
35,45,かなたの拠点（新）,home,天音かなた,フブキングやまつり拠点から水辺を挟んだ対岸。&#10;金属、ガス田、緑ジェム水晶、真珠などの資源が豊富で大型の恐竜には襲われにくい。
48,23,さくらみこの上層拠点,home,さくらみこ,最初に建てた拠点、現在は使われていない模様。
50,70,さくらみこの第一中層拠点,home,さくらみこ,現在メインで使っている拠点、小さな滝がある水辺に金属で陸地を作り、ロックドレイク孵化用のエアコンが並んでいる。
52,37,さくらみこの第二中層拠点,home,さくらみこ,巨大門で仕切られた広い敷地、今は特に何もない。
63,38,ムキロゼの中層拠点,home,アキ・ローゼンタール,スピノサウルスやパラケラテリウムを引き連れて移動してきた中層拠点。&#10;資源が豊富な神立地だが、水辺にあるため襲撃も多い。
